BlockCode,MaxAdDown,MaxAdUp
090010108002012,101.0,100.0
090010108002013,101.0,100.0
090010108002014,101.0,100.0
090010108002015,101.0,100.0
090010108002016,101.0,35.0
090010108002017,101.0,100.0
090010108002018,101.0,100.0
090010108002019,101.0,35.0
090010108002020,101.0,100.0
090010108002021,101.0,100.0
090010108002022,101.0,100.0
090010108002023,101.0,100.0
090010108002024,101.0,100.0
090010108002025,101.0,100.0
090010108003000,101.0,35.0
090010108003001,101.0,100.0
090010108003002,101.0,100.0
090010108003003,101.0,100.0
090010108003004,101.0,100.0
090010108003005,101.0,100.0
090010108003006,101.0,35.0
090010108003007,101.0,100.0
090010108003008,101.0,100.0
090010108003009,101.0,100.0
090010108003010,101.0,100.0
090010108003011,101.0,100.0
090010108003012,101.0,100.0
090010108003013,101.0,100.0
090010108003014,101.0,100.0
090010108004000,101.0,100.0
090010108004001,101.0,100.0
090010108004002,101.0,100.0
090010108004003,101.0,100.0
090010108004004,101.0,100.0
090010108004005,101.0,100.0
090010108004006,101.0,100.0
090010108004007,101.0,100.0
090010109001000,115.0,35.0
090010109001001,115.0,35.0
090010109001002,115.0,35.0
090010109001003,101.0,35.0
090010109001004,115.0,35.0
090010109001005,115.0,35.0
090010109001006,115.0,35.0
090010109001007,101.0,35.0
090010109001008,115.0,35.0
090010109001009,115.0,35.0
090010109001010,115.0,35.0
090010109001011,115.0,35.0
090010109001012,115.0,35.0
090010109001013,115.0,35.0
090010109001014,115.0,35.0
090010109001015,115.0,35.0
090010109001016,115.0,35.0
090010109001017,115.0,35.0
090010109001018,115.0,35.0
090010109001019,101.0,35.0
090010109002000,115.0,35.0
090010109002001,115.0,35.0
090010109002002,115.0,35.0
090010109002003,101.0,35.0
090010109002004,101.0,35.0
090010109002005,115.0,35.0
090010109002006,115.0,35.0
090010109002007,115.0,35.0
090010109002008,115.0,35.0
090010109002009,115.0,35.0
090010109002010,101.0,35.0
090010109002011,101.0,35.0
090010109002012,101.0,35.0
090010109002013,101.0,35.0
090010109002014,115.0,35.0
090010109002015,115.0,35.0
090010109002016,101.0,35.0
090010109002017,101.0,35.0
090010109002018,101.0,35.0
090010109002019,115.0,35.0
090010109002020,101.0,35.0
090010109002021,101.0,35.0
090010109002022,101.0,35.0
090010109003000,101.0,35.0
090010109003001,101.0,35.0
090010109003002,101.0,35.0
090010109003003,115.0,35.0
090010109003004,115.0,35.0
090010109003005,115.0,35.0
090010109003006,115.0,35.0
090010109003007,101.0,35.0
090010109003008,115.0,35.0
090010109003009,101.0,35.0
090010109003010,101.0,35.0
090010109003011,115.0,35.0
090010109003012,115.0,35.0
090010109004000,115.0,35.0
090010109004001,101.0,35.0
090010109004002,115.0,35.0
090010109004003,115.0,35.0
090010109004004,101.0,35.0
090010109004005,101.0,35.0
090010109004006,101.0,35.0
090010109004007,115.0,35.0
090010109004008,101.0,35.0
090010109004009,101.0,35.0
090010109004010,101.0,35.0
090010109004011,101.0,35.0
090010110001000,101.0,35.0
090010110001001,101.0,35.0
090010110001002,101.0,35.0
090010110001003,101.0,35.0
090010110001004,115.0,35.0
090010110001005,115.0,35.0
090010110001006,101.0,35.0
090010110001007,101.0,35.0
090010110001008,101.0,35.0
090010110001009,101.0,35.0
090010110001010,101.0,35.0
090010110001011,115.0,35.0
090010110001012,115.0,35.0
090010110001013,115.0,35.0
090010110001014,101.0,35.0
090010110001015,101.0,35.0
090010110001016,115.0,35.0
090010110001017,115.0,35.0
090010110001018,115.0,35.0
090010110001019,115.0,35.0
090010110001020,115.0,35.0
090010110001021,115.0,35.0
090010110001022,101.0,35.0
090010110002000,115.0,35.0
090010110002001,115.0,35.0
090010110002002,115.0,35.0
090010110002003,101.0,35.0
090010110002004,115.0,35.0
090010110002005,115.0,35.0
090010110002006,115.0,35.0
090010110002007,115.0,35.0
090010110002008,101.0,35.0
090010110002009,101.0,35.0
090010110002010,101.0,35.0
090010110002011,101.0,35.0
090010110002012,101.0,35.0
090010110002013,101.0,35.0
090010110002014,101.0,35.0
090010110002015,101.0,35.0
090010110002016,101.0,35.0
090010110002017,115.0,35.0
090010110002018,101.0,35.0
090010110002019,101.0,35.0
090010110002020,101.0,35.0
090010110002021,101.0,35.0
090010110002022,101.0,35.0
090010110002023,115.0,35.0
090010110002024,115.0,35.0
090010110003000,115.0,35.0
090010110003001,101.0,35.0
090010110003002,101.0,35.0
090010110003003,115.0,35.0
090010110003004,101.0,35.0
090010110003005,101.0,35.0
090010110003006,101.0,35.0
090010110003007,101.0,35.0
090010110003008,101.0,35.0
090010110003009,101.0,35.0
090010110003010,101.0,35.0
090010110004000,101.0,35.0
090010110004001,101.0,35.0
090010110004002,101.0,35.0
090010110004003,101.0,35.0
090010110004004,101.0,35.0
090010110004005,101.0,35.0
090010110004006,115.0,35.0
090010110004007,101.0,35.0
090010110004008,101.0,35.0
090010110004009,101.0,35.0
090010110004010,115.0,35.0
090010110004011,101.0,35.0
090010110004012,115.0,35.0
090010110004013,101.0,35.0
090010110004014,115.0,35.0
090010110004015,115.0,35.0
090010110004016,115.0,35.0
090010110004017,101.0,35.0
090010110004018,101.0,35.0
090010110004020,115.0,35.0
090010110004021,115.0,35.0
090010110004022,101.0,35.0
090010110005000,115.0,35.0
090010110005001,115.0,35.0
090010110005002,115.0,35.0
090010110005003,101.0,35.0
090010110005004,101.0,35.0
090010110005006,115.0,35.0
090010110005007,115.0,35.0
090010110005008,115.0,35.0
090010110005009,115.0,35.0
090010110005010,115.0,35.0
090010110005011,115.0,35.0
090010110005012,115.0,35.0
090010110005013,101.0,35.0
090010110005014,101.0,35.0
090010110005015,115.0,35.0
090010111001000,101.0,35.0
090010111001001,101.0,35.0
090010111001002,115.0,35.0
090010111001003,101.0,35.0
090010111001004,101.0,35.0
090010111001005,101.0,35.0
090010111001006,115.0,35.0
090010111001007,115.0,35.0
090010111001008,115.0,35.0
090010111001009,115.0,35.0
090010111001010,115.0,35.0
090010111001011,101.0,35.0
090010111001012,115.0,35.0
090010111001013,101.0,35.0
090010111001014,115.0,35.0
090010111001015,101.0,35.0
090010111001016,101.0,35.0
090010111001017,101.0,35.0
090010111001018,101.0,35.0
090010111001019,101.0,35.0
090010111001020,101.0,35.0
090010111001021,101.0,35.0
090010111001022,101.0,35.0
090010111001023,115.0,35.0
090010111001024,115.0,35.0
090010111001025,115.0,35.0
090010111001026,115.0,35.0
090010111001027,115.0,35.0
090010111001028,115.0,35.0
